Time,Exchange,ImbType,imbalance_quantity,paired_quantity,reference_price,clearing_price,closing_only_clearing_price,SSR_filling_price,condition_indicator,Bid,Ask
7/1/2026 9:10:48 AM,N,O,51254,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:49 AM,N,O,51257,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:53 AM,N,O,51260,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:54 AM,N,O,51210,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:57 AM,N,O,51206,18083,302.7,320,0,0,0,0,0
7/1/2026 9:10:58 AM,N,O,51124,18088,302.7,320,0,0,0,0,0
7/1/2026 9:10:59 AM,N,O,51074,18088,302.7,320,0,0,0,0,0
7/1/2026 9:11:03 AM,N,O,51012,18150,302.7,320,0,0,0,0,0
7/1/2026 9:11:05 AM,N,O,50987,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:09 AM,N,O,50995,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:11 AM,N,O,50975,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:14 AM,N,O,50925,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:20 AM,N,O,51125,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:22 AM,N,O,51075,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:27 AM,N,O,51025,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:30 AM,N,O,51026,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:33 AM,N,O,51022,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:34 AM,N,O,51052,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:36 AM,N,O,50954,18175,302.7,320,0,0,0,0,0
7/1/2026 9:11:37 AM,N,O,49885,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:39 AM,N,O,49905,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:40 AM,N,O,49913,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:41 AM,N,O,49903,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:49 AM,N,O,49803,19244,302.7,320,0,0,0,0,0
7/1/2026 9:11:52 AM,N,O,49828,19244,302.7,320,0,0,0,0,0
